A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;Target
0.2994025114;-1.2266241875;1.49842505;-1.176150361;5.2898525546;0.2082971139;2.4044983672;1.5945062221;-0.0516081633;0.6632343104;-1.4083700643;1.1147436351;0.9104153097;2.2181103179;4.305642729;0.0889239781;0.1691492587;0.4134476376;1.5138621709;2.6629665829;-1.0727654812;0.1491111205;0.5595791916;4.3788846424;-0.4636026556;-0.0639591553;0.5449303054;0.7127716671;-1.4940501264;-2.6361688752;-0.8504654463;-0.6229899964;-1.8330573433;0.2930243851;3.552681341;0.7176109942;3.3059719749;-2.7155588147;-2.6824085866;0.1010504723;1
-1.1741758544;0.3321573421;0.9499187505;-1.2853275749;2.1990605986;-0.1512680313;-0.4270387429;2.619246139;-0.7658838294;-0.0937802228;0.935346806;1.0577958882;-0.5392751416;-0.1726615222;-0.6790514911;0.6073615885;1.1486345604;2.4370773416;-0.3130685355;0.5281042329;-0.5134756172;0.7662214058;-1.4669392612;-2.3188853343;1.6472231549;-1.5564428058;-1.6455805233;-0.198466613;-1.472066401;-1.9061467004;-0.8197502322;0.0120366088;2.0388356491;0.4685788635;-0.5176568712;0.4223256874;0.8036988026;1.2132192591;1.3829316346;-1.8177610599;0
1.1922220829;-0.4143707348;0.0670541836;-2.2335684866;3.6588805704;0.0890069629;0.2034390061;-4.2190543003;-1.1849190948;-1.2403100506;-0.8902695114;0.9099685462;-11.8513117742;3.3524198542;-4.8621245651;-0.9033172953;-1.8243440847;0.0454464548;-2.1264741214;1.1615625043;-1.0279116972;-1.0787920735;1.848525491;3.7589182955;0.6236487039;-0.0910444955;-1.0330935988;-0.2541506092;-4.3775418012;-1.1962984878;-0.6045012219;0.7500541868;-3.3605206123;0.8569879952;-2.7514511332;-1.5827349231;1.6722457246;0.6564375021;-0.9324728231;2.9874357976;0
1.5732701196;-0.5803178002;-0.8663322921;-0.6038124369;3.12571649;0.8703207725;-0.1619924811;4.4996655731;1.0387413471;-1.0927158682;-0.7134741871;-0.1363993007;0.0589903883;-1.0834583274;1.6226588155;-1.6855816189;-1.2228789524;-0.215833851;0.1556117439;0.6278727472;-0.7327885945;1.3379409361;1.3356889443;0.6800619735;0.5047540306;1.2048082213;0.1444773336;0.6739928622;1.0279212821;3.073382227;1.0229592662;1.2755978757;-3.4801104045;-1.0652515309;2.1531332553;1.5635394298;2.7671165705;0.2157475113;0.6196454173;1.8833966494;1
-0.6130714167;-0.6442041338;1.1125580805;-0.0323965404;3.4901420543;-0.0119346193;1.4435214596;-4.290281657;-1.7613075176;0.8076518535;-0.4165745133;0.4338619323;-12.8228208779;-0.0482476607;-5.031496588;-0.7044126649;0.5159515837;-2.6358989056;-2.3598806491;-0.0534001545;0.7414320068;1.5730427183;0.7236860276;1.7356019132;0.3357737199;0.572904884;0.6259710636;0.4120836731;-4.8838332233;-5.588331877;0.5139055065;-1.8034734646;0.5185789692;-0.2050289081;-4.7445659284;-1.5200150713;1.8306505763;0.8707722372;-1.8946094567;0.4083323226;0
-0.7732473652;-0.123227153;0.0474232748;-0.2102662843;10.3777929581;0.5266039607;-2.7516162318;0.315540929;0.6086029084;-0.0434212928;0.1924546038;-0.146712222;3.7327081797;-0.3137143744;1.5663301886;0.5704145355;-2.4517300043;0.9469460237;3.1182893452;0.1699018059;-0.7442608142;-1.7145862833;1.3912849725;3.8975494988;0.3623160201;0.0337375862;-1.1944309091;-1.0756099906;-1.2916945909;-3.9533924678;-1.4877136548;0.792790311;-0.5407112591;0.1141149776;-0.2774768189;-0.8964106818;-2.8052072549;0.4691624905;3.614157025;0.0816889662;1
1.483814259;-0.2963009127;0.4526973959;0.053363299;-4.4802273102;-1.1897856706;1.9639511083;-0.6101885396;1.3126980365;2.4933898183;-0.2083749097;-0.2789896467;-1.0733595191;0.2713663019;-1.6803483048;-0.1933126908;-0.8659226516;-0.7997665292;1.0465069797;0.3303875981;-0.0195666302;0.4708122344;-1.3433551238;-0.7726704323;-0.7260380077;-2.0094802656;-1.6324433367;-0.801951214;0.1472722379;-0.5181032057;-0.0643007387;-1.9029889094;3.4417668083;1.481433763;-0.50705504;-0.1174901258;1.8770931676;-0.5311292982;-1.5743260977;-1.7336000572;0
0.7639014957;-3.4920855905;0.329563858;1.3007202868;5.0377832812;0.1491218267;-5.014213773;-1.9667231154;-1.8281316509;0.2899109534;-0.9586308168;0.5095506652;8.8015887813;-1.0315300328;1.0369137917;0.2655218565;-0.7323129302;-0.3586859956;0.3448148285;-0.600545421;2.5725454393;0.6350325309;-0.5394089026;7.9398262334;0.1310815598;0.7120793653;1.8511719168;-0.739268067;-0.7447121319;-1.1182883977;-0.3143279884;1.3174646762;-0.8021011752;-1.6224289254;3.9301465368;0.9525205532;-0.7757243683;1.0471287224;3.2523737516;-1.3202903805;1
0.3809640827;-1.533579592;0.7866023509;1.3118270124;-6.1220857316;1.8372925889;1.8723408821;-2.6048112012;-0.179111244;2.6556905007;1.434955024;-0.0775916305;0.0075526556;1.8163569326;-1.3491322176;-0.30044768;-0.0708533641;-0.7665839728;2.1047712979;-0.3302498793;1.7924125018;-0.7506854521;-0.7869807206;-1.0443069405;0.8194282635;-0.5289583769;0.8648753856;-2.3348677808;2.3619580457;1.1514158634;-1.2215360784;-1.9285549372;1.5003120631;0.3813768821;-1.0900068662;-0.1355320668;0.8974535153;-0.1576053063;-0.3536763707;1.2035632676;1
-0.6889362368;-0.8794695547;-1.1503020088;-0.1311289928;-0.6174834586;-0.7743172355;-3.0611529729;-0.5168638381;-0.924852547;-1.4015603875;-0.8833648607;1.4007245581;1.1558583149;1.4862556248;-2.997112768;-0.6719666926;-0.7697287484;-0.965746403;3.3865579178;0.1888315656;-0.3057019476;-0.3653989573;-2.2064830739;4.3286785355;1.5681478016;-1.3415675032;0.0987547286;0.4835932862;0.1408969715;5.067783149;-0.119980771;0.5319813926;-1.3268163864;-0.4570710595;-2.9980228252;-0.0610200154;2.7456461392;0.8617203639;-1.4134280667;1.714610612;0
